Transaction ID,Date,Amount,Latitude,Longitude,User ID,Status,Merchant ID
29118677,2023-08-05,362.36427222057495,40.83324211537427,-73.76684818506578,7000442,Accepted,53683826
11370348,2023-08-13,151.76189913809066,40.62304330025363,-73.87906268522941,8536977,Accepted,81572607
83179140,2023-08-25,161.95870177604994,40.558909950064944,-73.91115305562768,4063928,Accepted,41881887
31615492,2023-08-31,86.13512112211897,40.68837707487225,-73.80910078610492,4467899,Accepted,59532334
61850667,2023-08-12,482.34276355537133,40.86311410532682,-73.99582356638228,3619227,Accepted,91243845
49916304,2023-08-16,396.801032957208,40.822397247961476,-73.93067640940811,5740089,Accepted,84011682
50334698,2023-08-30,84.8004402905979,40.911465631040116,-73.79178349511265,4991875,Declined,19589679
79261659,2023-08-05,32.190248460095575,40.87834807254408,-73.94441898358629,7686867,Accepted,17819499
97352789,2023-08-22,97.44448124567022,40.6415797054414,-73.87129912671107,7929977,Accepted,32504069
55456845,2023-08-03,375.15470848340414,40.74188694382596,-73.95715994975626,1891121,Accepted,16390441
57212674,2023-08-26,410.2552472727446,40.637885142758755,-73.81188452833878,9523098,Accepted,10316526
29791007,2023-08-18,244.26479621508454,40.77385884489061,-73.91664377871408,6327797,Accepted,61614477
25887659,2023-08-11,382.43921624136175,40.57927163101588,-73.78109390903204,7725153,Accepted,52228135
58866306,2023-08-20,283.30788894876247,40.84698432888678,-73.94454434001437,5627425,Accepted,26374810
20381995,2023-08-25,73.8107902666851,40.73992398769509,-73.72202878747481,9742197,Accepted,19477636
41169350,2023-08-16,440.475159034365,40.584013879601436,-73.72335142374202,1879039,Accepted,36086310
21394875,2023-08-03,103.78361123062017,40.49859799798135,-74.12277754495561,3729102,Accepted,73070771
31780557,2023-08-15,64.80053203718839,40.60854643456931,-73.73718574477468,7662231,Accepted,65110029
45370607,2023-08-18,261.37675107476315,40.6734954063128,-73.777776962122,8561270,Accepted,67896037
91251651,2023-08-12,333.0032906201155,40.863136517708874,-73.968294228802,5756562,Accepted,17329883
64750260,2023-08-26,67.22197250154969,40.73083834383076,-74.0034482341235,5241932,Accepted,34709936
37535791,2023-08-29,113.05868021282846,40.69001103501896,-73.87692309678233,1042506,Accepted,28070354
51763317,2023-08-10,24.211845189786892,40.61181064318052,-74.02187151019994,2123332,Accepted,15110882
83946037,2023-08-11,163.9645274866653,40.67787561199696,-73.92552377047988,1707675,Accepted,55194391
12741269,2023-08-23,341.2285771952675,40.72299807747642,-74.00216227741514,4500520,Accepted,93274879
75434417,2023-08-21,145.2012455499797,40.793235931886926,-73.89886966125111,3466820,Accepted,56649306
24644829,2023-08-06,107.90443231171386,40.716369926586935,-73.91893103638512,9774638,Accepted,45424527
70047164,2023-08-13,198.85790412153997,40.678984244465404,-73.93306092481895,7300815,Accepted,32090428
66800225,2023-08-31,407.91667652468897,40.80635904392502,-73.79283813993692,7167662,Accepted,59949685
87817610,2023-08-19,292.17460568381347,40.79800110745351,-73.97300256940153,1155884,Accepted,40879984
41964123,2023-08-04,268.6860419260168,40.743700064808046,-74.00986485387723,9850814,Accepted,71358950
77730375,2023-08-13,261.2333746053284,40.86508107842478,-73.81463255173217,8469540,Accepted,74089708
54977642,2023-08-15,123.71904647554834,40.77433107939463,-73.91047082068852,2967592,Accepted,65122923
48407873,2023-08-18,209.12046344708253,40.71782940362266,-73.9085749097938,9808461,Accepted,13732340
65183450,2023-08-07,199.0443004539599,40.72622777566711,-73.9683121266372,8800852,Accepted,18689117
40581380,2023-08-26,6.415557440207246,40.71472382861283,-73.91187211379976,7184106,Accepted,40603170
39466596,2023-08-24,474.0086722194149,40.567555485771535,-73.75926800894108,3300781,Accepted,56934329
47876756,2023-08-12,274.92570567841653,40.74896178307574,-73.94745071226555,6936454,Accepted,98368657
96505954,2023-08-30,402.19000213330685,40.71819483970535,-74.00724710733323,9035460,Accepted,79725815
88871565,2023-08-16,357.88540263381105,40.820440374160114,-73.77870610091725,5152985,Accepted,38488188
20319651,2023-08-08,341.17779353453363,40.56041314140635,-74.15059965221968,9415312,Accepted,43776586
85289815,2023-08-20,21.53023387751687,40.57104336371559,-73.73996290463813,6574093,Accepted,98639450
62431806,2023-08-06,378.64423303012404,40.623808143845864,-73.94971051234832,1063483,Accepted,12546982
54960529,2023-08-23,495.25595194481514,40.910702628360184,-73.85752699809265,4827267,Accepted,39075832
44047282,2023-08-25,324.15865334802913,40.85430354416011,-73.97042795334406,4247564,Accepted,53011372
86833142,2023-08-28,12.334431640085668,40.79209373016966,-73.8542074690613,8332661,Accepted,32090428
32561971,2023-08-05,266.08823184032894,40.80730976661556,-74.00450198548867,6824476,Accepted,70034819
67237222,2023-08-12,439.56509811316204,40.905880436817235,-73.78172982693259,1892332,Accepted,98136868
82884472,2023-08-05,212.61749518113155,40.54349450899379,-74.21199981583574,5039394,Accepted,81594087
71044654,2023-08-20,441.1973609611557,40.52074652789632,-73.94027244843468,8676826,Accepted,53683826
33773517,2023-08-16,154.4097811947566,40.78740228097759,-73.88778953479962,5507563,Accepted,57676968
96045774,2023-08-28,118.5605589575926,40.795869768904524,-73.9222057539978,8640880,Accepted,97611566
83699889,2023-08-31,421.43951931245715,40.74115541484496,-73.92806991447746,3852784,Accepted,95454173
90103417,2023-08-26,78.53613049925497,40.82141969960596,-73.96613955929917,9174911,Accepted,99897907
68413712,2023-08-16,226.9528196096825,40.82954849913317,-73.90232120910697,3511442,Accepted,35568037
34852671,2023-08-15,106.26026414369372,40.625033616943035,-73.93822657754144,2419480,Accepted,65307409
16550089,2023-08-02,243.04823485574974,40.67974838879704,-73.73323102167939,7229136,Accepted,38577616
92259496,2023-08-17,15.751469170701407,40.87241900747896,-73.76704309863257,9046171,Accepted,72132850
45893972,2023-08-13,120.1421985015356,40.570585792248,-74.13432501732233,4247564,Declined,53011372
96287634,2023-08-21,55.09505333053293,40.50561319693732,-74.0627558370219,8800852,Accepted,18689117
49964290,2023-08-03,357.4104764723621,40.67614572383513,-73.96993292738986,1892332,Accepted,98136868
96503522,2023-08-13,417.1410241378202,40.57893033758583,-73.91485950977003,5507563,Accepted,57676968
49451134,2023-08-12,85.98782312330938,40.80271065595628,-73.92583342764588,6788802,Accepted,73734620
57008013,2023-08-05,251.65289244908692,40.56880784125881,-73.84592258698983,3561534,Accepted,98639450
